well_no,date,year,month,season,is_monsoon,water_level_mean,water_level_min,water_level_max,water_level_std,water_level_lag1,water_level_lag2,water_level_lag3,water_level_rolling_3m,water_level_rolling_6m,water_level_change,rainfall_total,rainfall_mean,rainfall_max,rainy_days,rainfall_lag1,rainfall_rolling_3m,quality_TDS (mg/L),quality_NO2+NO3 (mg/L),quality_Ca (mg/L),quality_Mg (mg/L),quality_Na (mg/L),quality_K (mg/L),quality_Cl (mg/L),quality_SO4 (mg/L),quality_CO3 (mg/L),quality_HCO3 (mg/L),quality_F (mg/L),quality_pH_GEN,quality_EC_GEN (µS/cm),quality_HAR_Total (mg/L),quality_SAR,quality_Na%,year_month,measurement_count,well_type,year_qual,month_qual,year_rain,month_rain
53258,2017-12-01,2017,12,Winter,0,16.2,16.2,16.2,1.2727922061357873,18.5,22.1,24.85,18.933333333333334,21.84166666666667,-2.3000000000000007,401.8,18.263636363636365,56.0,22.0,521.2,586.4,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-12,1,OB,2019.0,1.0,2017.0,12.0
53258,2018-01-01,2018,1,Winter,0,16.5,16.5,16.5,1.2727922061357873,16.2,18.5,22.1,17.066666666666666,20.458333333333332,0.3000000000000007,7.6,2.533333333333333,3.0,3.0,401.8,310.2,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-01,1,OB,2019.0,1.0,2018.0,1.0
53258,2018-02-01,2018,2,Winter,0,20.2,20.2,20.2,1.2727922061357873,16.5,16.2,18.5,17.633333333333336,19.724999999999998,3.6999999999999993,113.2,16.17142857142857,62.0,7.0,7.6,174.20000000000002,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-02,1,OB,2019.0,1.0,2018.0,2.0
53258,2018-03-01,2018,3,Spring,0,20.4,20.4,20.4,1.2727922061357873,20.2,16.5,16.2,19.03333333333333,18.983333333333334,0.1999999999999993,180.3,10.605882352941178,48.0,17.0,113.2,100.36666666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-03,1,OB,2019.0,1.0,2018.0,3.0
53258,2018-04-01,2018,4,Spring,0,22.0,22.0,22.0,1.2727922061357873,20.4,20.2,16.5,20.866666666666664,18.966666666666665,1.6000000000000014,20.0,6.666666666666667,13.0,3.0,180.3,104.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-04,1,OB,2019.0,1.0,2018.0,4.0
53258,2018-05-01,2018,5,Spring,0,22.15,22.15,22.15,1.2727922061357873,22.0,20.4,20.2,21.516666666666666,19.575,0.14999999999999858,1604.22,17.24967741935484,138.0,93.0,20.0,601.5066666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-05,1,OB,2019.0,1.0,2018.0,5.0
53258,2018-06-01,2018,6,Summer,1,21.15,21.15,21.15,1.2727922061357873,22.15,22.0,20.4,21.766666666666666,20.400000000000002,-1.0,66.6,4.4399999999999995,13.0,15.0,1604.22,563.6066666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-06,1,OB,2019.0,1.0,2018.0,6.0
53258,2018-07-01,2018,7,Summer,1,21.5,21.5,21.5,1.2727922061357873,21.15,22.15,22.0,21.599999999999998,21.233333333333334,0.3500000000000014,80.1,3.0807692307692305,12.0,26.0,66.6,583.64,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-07,1,OB,2019.0,1.0,2018.0,7.0
53258,2018-08-01,2018,8,Summer,1,21.6,21.6,21.6,1.2727922061357873,21.5,21.15,22.15,21.416666666666668,21.46666666666667,0.10000000000000142,191.2,6.828571428571428,20.0,28.0,80.1,112.63333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-08,1,OB,2019.0,1.0,2018.0,8.0
53258,2018-09-01,2018,9,Fall,1,25.6,25.6,25.6,1.2727922061357873,21.6,21.5,21.15,22.900000000000002,22.333333333333332,4.0,806.1,14.927777777777779,106.0,54.0,191.2,359.1333333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-09,1,OB,2019.0,1.0,2018.0,9.0
53258,2018-10-01,2018,10,Fall,0,25.0,25.0,25.0,1.2727922061357873,25.6,21.6,21.5,24.066666666666666,22.833333333333332,-0.6000000000000014,1410.0,16.3953488372093,114.0,86.0,806.1,802.4333333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-10,1,OB,2019.0,1.0,2018.0,10.0
53258,2018-11-01,2018,11,Fall,0,17.75,17.75,17.75,1.2727922061357873,25.0,25.6,21.6,22.78333333333333,22.099999999999998,-7.25,953.2,11.767901234567901,68.0,81.0,1410.0,1056.4333333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-11,1,OB,2019.0,1.0,2018.0,11.0
53258,2018-12-01,2018,12,Winter,0,18.0,18.0,18.0,1.2727922061357873,17.75,25.0,25.6,20.25,21.575,0.25,85.8,6.128571428571428,18.0,14.0,953.2,816.3333333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-12,1,OB,2019.0,1.0,2018.0,12.0
53258,2019-01-01,2019,1,Winter,0,13.7,13.7,13.7,1.2727922061357873,18.0,17.75,25.0,16.483333333333334,20.275000000000002,-4.300000000000001,17.0,8.5,11.0,2.0,85.8,352.0,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-01,1,OB,2019.0,1.0,2019.0,1.0
53258,2019-03-01,2019,3,Spring,0,14.3,14.3,14.3,1.2727922061357873,13.7,18.0,17.75,15.333333333333334,19.058333333333334,0.6000000000000014,2.0,2.0,2.0,1.0,17.0,34.93333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-03,1,OB,2019.0,1.0,2019.0,3.0
53258,2019-04-01,2019,4,Spring,0,15.65,15.65,15.65,1.2727922061357873,14.3,13.7,18.0,14.549999999999999,17.4,1.3499999999999996,2.0,2.0,2.0,1.0,2.0,9.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-04,1,OB,2019.0,1.0,2019.0,3.0
53258,2019-05-01,2019,5,Spring,0,16.0,16.0,16.0,1.2727922061357873,15.65,14.3,13.7,15.316666666666668,15.9,0.34999999999999964,2.0,2.0,2.0,1.0,2.0,2.0,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-05,1,OB,2019.0,1.0,2019.0,3.0
53258,2019-06-01,2019,6,Summer,1,17.85,17.85,17.85,1.2727922061357873,16.0,15.65,14.3,16.5,15.916666666666666,1.8500000000000014,2.0,2.0,2.0,1.0,2.0,2.0,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-06,1,OB,2019.0,1.0,2019.0,3.0
53258,2019-07-01,2019,7,Summer,1,18.0,18.0,18.0,1.2727922061357873,17.85,16.0,15.65,17.283333333333335,15.916666666666666,0.14999999999999858,47.6,4.76,18.0,10.0,2.0,47.6,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-07,1,OB,2019.0,1.0,2019.0,7.0
53258,2019-08-01,2019,8,Summer,1,20.9,20.9,20.9,1.2727922061357873,18.0,17.85,16.0,18.916666666666668,17.11666666666667,2.8999999999999986,724.9,12.717543859649123,130.0,57.0,47.6,386.25,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-08,1,OB,2019.0,1.0,2019.0,8.0
53258,2019-09-01,2019,9,Fall,1,21.0,21.0,21.0,1.2727922061357873,20.9,18.0,17.85,19.966666666666665,18.233333333333334,0.10000000000000142,511.6,7.99375,36.0,64.0,724.9,428.0333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-09,1,OB,2019.0,1.0,2019.0,9.0
53258,2019-10-01,2019,10,Fall,0,23.5,23.5,23.5,1.2727922061357873,21.0,20.9,18.0,21.8,19.541666666666668,2.5,1370.7,12.238392857142857,52.0,112.0,511.6,869.0666666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-10,1,OB,2019.0,1.0,2019.0,10.0
53258,2019-11-01,2019,11,Fall,0,18.6,18.6,18.6,1.2727922061357873,23.5,21.0,20.9,21.033333333333335,19.975,-4.899999999999999,721.75,8.491176470588234,37.0,85.0,1370.7,868.0166666666668,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-11,1,OB,2019.0,1.0,2019.0,11.0
53258,2019-12-01,2019,12,Winter,0,15.6,15.6,15.6,1.2727922061357873,18.6,23.5,21.0,19.233333333333334,19.599999999999998,-3.0000000000000018,753.3,10.917391304347825,38.8,69.0,721.75,948.5833333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2019-12,1,OB,2019.0,1.0,2019.0,12.0
53258,2023-01-01,2023,1,Winter,0,4.15,4.15,4.15,1.2727922061357873,15.6,18.6,23.5,12.783333333333333,17.291666666666668,-11.45,1.0,1.0,1.0,1.0,753.3,492.01666666666665,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-01,1,OB,2019.0,1.0,2023.0,1.0
53258,2023-02-01,2023,2,Winter,0,4.3,4.3,4.3,1.2727922061357873,4.15,15.6,18.6,8.016666666666667,14.524999999999999,0.14999999999999947,155.1,8.616666666666667,18.0,18.0,1.0,303.1333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-02,1,OB,2019.0,1.0,2023.0,2.0
53258,2023-03-01,2023,3,Spring,0,4.7,4.7,4.7,1.2727922061357873,4.3,4.15,15.6,4.383333333333334,11.808333333333335,0.40000000000000036,546.8000000000001,21.872000000000003,76.0,25.0,155.1,234.30000000000004,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-03,1,OB,2019.0,1.0,2023.0,3.0
53258,2023-04-01,2023,4,Spring,0,5.12,5.12,5.12,1.2727922061357873,4.7,4.3,4.15,4.706666666666667,8.745,0.41999999999999993,470.8,10.234782608695653,56.2,46.0,546.8000000000001,390.90000000000003,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-04,1,OB,2019.0,1.0,2023.0,4.0
53258,2023-05-01,2023,5,Spring,0,5.15,5.15,5.15,1.2727922061357873,5.12,4.7,4.3,4.989999999999999,6.503333333333334,0.03000000000000025,2103.2,13.48205128205128,100.4,156.0,470.8,1040.2666666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-05,1,OB,2019.0,1.0,2023.0,5.0
53258,2023-06-01,2023,6,Summer,1,5.5,5.5,5.5,1.2727922061357873,5.15,5.12,4.7,5.256666666666667,4.819999999999999,0.34999999999999964,294.6,9.82,42.0,30.0,2103.2,956.1999999999998,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-06,1,OB,2019.0,1.0,2023.0,6.0
53258,2023-07-01,2023,7,Summer,1,5.95,5.95,5.95,1.2727922061357873,5.5,5.15,5.12,5.533333333333334,5.12,0.4500000000000002,258.1,4.096825396825397,15.0,63.0,294.6,885.2999999999998,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-07,1,OB,2019.0,1.0,2023.0,7.0
53258,2023-08-01,2023,8,Summer,1,6.3,6.3,6.3,1.2727922061357873,5.95,5.5,5.15,5.916666666666667,5.453333333333333,0.34999999999999964,413.8,9.404545454545454,64.0,44.0,258.1,322.1666666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-08,1,OB,2019.0,1.0,2023.0,8.0
53258,2023-09-01,2023,9,Fall,1,6.9,6.9,6.9,1.2727922061357873,6.3,5.95,5.5,6.383333333333334,5.82,0.6000000000000005,523.9,8.315873015873015,58.0,63.0,413.8,398.6000000000001,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-09,1,OB,2019.0,1.0,2023.0,9.0
53258,2023-10-01,2023,10,Fall,0,7.25,7.25,7.25,1.2727922061357873,6.9,6.3,5.95,6.816666666666666,6.175,0.34999999999999964,2258.4,17.506976744186048,113.0,129.0,523.9,1065.3666666666668,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-10,1,OB,2019.0,1.0,2023.0,10.0
53258,2023-11-01,2023,11,Fall,0,6.65,6.65,6.65,1.2727922061357873,7.25,6.9,6.3,6.933333333333334,6.425000000000001,-0.5999999999999996,3490.4,14.916239316239317,167.0,234.0,2258.4,2090.9,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-11,1,OB,2019.0,1.0,2023.0,11.0
53258,2023-12-01,2023,12,Winter,0,4.35,4.35,4.35,1.2727922061357873,6.65,7.25,6.9,6.083333333333333,6.233333333333333,-2.3000000000000007,858.2,12.26,75.0,70.0,3490.4,2202.3333333333335,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2023-12,1,OB,2019.0,1.0,2023.0,12.0
53260,2017-01-01,2017,1,Winter,0,5.65,5.65,5.65,1.2727922061357873,5.65,5.65,5.65,5.65,5.65,0.2999999999999998,46.5,6.642857142857143,13.0,7.0,46.5,46.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-01,1,OB,2019.0,1.0,2017.0,1.0
53260,2017-02-01,2017,2,Winter,0,5.95,5.95,5.95,1.2727922061357873,5.65,5.65,5.65,5.800000000000001,5.800000000000001,0.2999999999999998,46.5,6.642857142857143,13.0,7.0,46.5,46.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-02,1,OB,2019.0,1.0,2017.0,1.0
53260,2017-03-01,2017,3,Spring,0,6.2,6.2,6.2,1.2727922061357873,5.95,5.65,5.65,5.933333333333334,5.933333333333334,0.25,164.4,10.96,47.0,15.0,46.5,105.45,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-03,1,OB,2019.0,1.0,2017.0,3.0
53260,2017-04-01,2017,4,Spring,0,6.0,6.0,6.0,1.2727922061357873,6.2,5.95,5.65,6.05,5.95,-0.20000000000000018,234.2,10.645454545454545,26.0,22.0,164.4,199.3,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-04,1,OB,2019.0,1.0,2017.0,4.0
53260,2017-05-01,2017,5,Spring,0,10.1,10.1,10.1,1.2727922061357873,6.0,6.2,5.95,7.433333333333334,6.779999999999999,4.1,408.8,9.506976744186046,32.0,43.0,234.2,269.1333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-05,1,OB,2019.0,1.0,2017.0,5.0
53260,2017-06-01,2017,6,Summer,1,10.5,10.5,10.5,1.2727922061357873,10.1,6.0,6.2,8.866666666666667,7.3999999999999995,0.40000000000000036,105.6,11.733333333333333,35.0,9.0,408.8,249.53333333333333,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-06,1,OB,2019.0,1.0,2017.0,6.0
53260,2017-07-01,2017,7,Summer,1,9.8,9.8,9.8,1.2727922061357873,10.5,10.1,6.0,10.133333333333335,8.091666666666667,-0.6999999999999993,56.6,8.085714285714285,30.0,7.0,105.6,190.33333333333334,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-07,1,OB,2019.0,1.0,2017.0,7.0
53260,2017-08-01,2017,8,Summer,1,9.5,9.5,9.5,1.2727922061357873,9.8,10.5,10.1,9.933333333333334,8.683333333333334,-0.3000000000000007,514.1,11.17608695652174,80.0,46.0,56.6,225.43333333333337,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-08,1,OB,2019.0,1.0,2017.0,8.0
53260,2017-09-01,2017,9,Fall,1,9.8,9.8,9.8,1.2727922061357873,9.5,9.8,10.5,9.700000000000001,9.283333333333333,0.3000000000000007,1495.9,27.19818181818182,118.0,55.0,514.1,688.8666666666668,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-09,1,OB,2019.0,1.0,2017.0,9.0
53260,2017-10-01,2017,10,Fall,0,8.5,8.5,8.5,1.2727922061357873,9.8,9.5,9.8,9.266666666666667,9.700000000000001,-1.3000000000000007,836.2,16.39607843137255,70.0,51.0,1495.9,948.7333333333335,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-10,1,OB,2019.0,1.0,2017.0,10.0
53260,2017-11-01,2017,11,Fall,0,8.0,8.0,8.0,1.2727922061357873,8.5,9.8,9.5,8.766666666666667,9.35,-0.5,521.2,9.143859649122808,68.0,57.0,836.2,951.1,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-11,1,OB,2019.0,1.0,2017.0,11.0
53260,2017-12-01,2017,12,Winter,0,7.0,7.0,7.0,1.2727922061357873,8.0,8.5,9.8,7.833333333333333,8.766666666666667,-1.0,401.8,18.263636363636365,56.0,22.0,521.2,586.4,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2017-12,1,OB,2019.0,1.0,2017.0,12.0
53260,2018-01-01,2018,1,Winter,0,6.9,6.9,6.9,1.2727922061357873,7.0,8.0,8.5,7.3,8.283333333333333,-0.09999999999999964,7.6,2.533333333333333,3.0,3.0,401.8,310.2,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-01,1,OB,2019.0,1.0,2018.0,1.0
53260,2018-02-01,2018,2,Winter,0,7.6,7.6,7.6,1.2727922061357873,6.9,7.0,8.0,7.166666666666667,7.966666666666666,0.6999999999999993,113.2,16.17142857142857,62.0,7.0,7.6,174.20000000000002,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-02,1,OB,2019.0,1.0,2018.0,2.0
53260,2018-03-01,2018,3,Spring,0,7.7,7.7,7.7,1.2727922061357873,7.6,6.9,7.0,7.3999999999999995,7.616666666666667,0.10000000000000053,180.3,10.605882352941178,48.0,17.0,113.2,100.36666666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-03,1,OB,2019.0,1.0,2018.0,3.0
53260,2018-04-01,2018,4,Spring,0,8.23,8.23,8.23,1.2727922061357873,7.7,7.6,6.9,7.843333333333334,7.571666666666668,0.5300000000000002,20.0,6.666666666666667,13.0,3.0,180.3,104.5,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-04,1,OB,2019.0,1.0,2018.0,4.0
53260,2018-05-01,2018,5,Spring,0,8.4,8.4,8.4,1.2727922061357873,8.23,7.7,7.6,8.11,7.6383333333333345,0.16999999999999993,1604.22,17.24967741935484,138.0,93.0,20.0,601.5066666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-05,1,OB,2019.0,1.0,2018.0,5.0
53260,2018-06-01,2018,6,Summer,1,6.95,6.95,6.95,1.2727922061357873,8.4,8.23,7.7,7.86,7.63,-1.4500000000000002,66.6,4.4399999999999995,13.0,15.0,1604.22,563.6066666666667,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-06,1,OB,2019.0,1.0,2018.0,6.0
53260,2018-07-01,2018,7,Summer,1,7.1,7.1,7.1,1.2727922061357873,6.95,8.4,8.23,7.483333333333333,7.663333333333333,0.14999999999999947,80.1,3.0807692307692305,12.0,26.0,66.6,583.64,1442.0,231.0,40.0,72.9,343.0,31.0,440.0,131.0,12.0,280.6,0.14,8.5,2360.0,400.0,7.462175,62.93222,2018-07,1,OB,2019.0,1.0,2018.0,7.0
