Well No,District,Tahsil / Taluk,Village,Latitude_decimal,Longitude_decimal,Latitude,Longitude,Date_standardized,Year,Month,Season,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,HAR_Total,SAR,HAR_Ca,RSC,Na%,TDS_Class,pH_Class,Total_Cations,Total_Anions,Ionic_Balance_Error
63831,Tiruppur,Udumalpet,Deepalapatti,10.543056,77.055278,"10°32'35""","77°03'19""",2016-07-05,2016,7,Monsoon,347.0,15.0,30.0,29.16,30.0,15.0,57.0,38.0,0.609461,129.366,0.05,7.7,560.0,130.0,195.0,0.9348775,75.0,0.0,23.36385,Fresh,Neutral,104.16,224.97546100000002,36.70691107938686
63536,Tiruppur,Dharapuram,Erichinampalayam,10.844444,77.741667,"10°50'40""","77°44'30""",2016-01-04,2016,1,Winter,1161.0,43.0,60.0,87.48,193.0,24.0,291.0,130.0,0.0,366.0,1.4,8.2,1920.0,300.0,510.0,3.718688,150.0,0.0,43.72024,Brackish,Neutral,364.48,787.0,36.69364643762809
63536,Tiruppur,Dharapuram,Erichinampalayam,10.844444,77.741667,"10°50'40""","77°44'30""",2016-07-05,2016,7,Monsoon,1198.0,46.0,34.0,120.285,41.0,196.0,188.0,211.0,0.0,402.6,1.8,8.0,1840.0,330.0,580.0,0.7406843,85.0,0.0,9.697056,Brackish,Neutral,391.28499999999997,801.6,34.39686139066214
63804A,Tiruppur,Madathukulam,Gudimangalam,10.695,77.281667,"10°41'42""","77°16'54""",2016-01-21,2016,1,Winter,560.0,15.0,24.0,30.375,118.0,14.0,142.0,66.0,0.0,201.3,0.71,8.1,920.0,165.0,185.0,3.775068,60.0,0.0,55.86325,Brackish,Neutral,186.375,409.3,37.42393083476729
HP1CTR13,Tiruppur,Madathukulam,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2016-01-21,2016,1,Winter,718.0,19.0,38.0,55.89,115.0,24.0,227.0,88.0,0.0,170.8,0.43,8.0,1210.0,140.0,325.0,2.775703,95.0,0.0,41.30137,Brackish,Neutral,232.89,485.8,35.190415895587805
63804A,Tiruppur,Madathukulam,Gudimangalam,10.695,77.281667,"10°41'42""","77°16'54""",2016-07-05,2016,7,Monsoon,1090.0,36.0,42.0,70.47,189.0,63.0,337.0,132.0,0.0,189.1,0.07,7.8,1770.0,155.0,395.0,4.137808,105.0,0.0,46.37531,Brackish,Neutral,364.47,658.1,28.714904603107854
HP1CTR13,Tiruppur,Madathukulam,Gudimangalam,10.6875,77.284722,"10°41'15""","77°17'05""",2016-07-05,2016,7,Monsoon,1033.0,11.0,40.0,70.47,229.0,2.0,432.0,106.0,0.0,207.4,0.05,7.8,1780.0,170.0,390.0,5.04553,100.0,0.0,55.938,Brackish,Neutral,341.47,745.4,37.164518295656336
63827,Tiruppur,Udumalpet,Ilalayamuthur,10.481944,77.3,"10°28'55""","77°18'00""",2016-01-21,2016,1,Winter,630.0,12.0,30.0,43.74,74.0,90.0,142.0,52.0,0.0,292.8,0.64,8.1,1060.0,240.0,255.0,2.016411,75.0,0.0,30.31724,Brackish,Neutral,237.74,486.8,34.37491373837194
63827,Tiruppur,Udumalpet,Ilalayamuthur,10.481944,77.3,"10°28'55""","77°18'00""",2016-07-05,2016,7,Monsoon,37.0,0.5,4.0,4.86,2.0,0.1,11.0,2.0,5.922776,19.925,0.05,7.5,70.0,20.0,30.0,0.1588917,10.0,0.0,12.62461,Fresh,Neutral,10.959999999999999,38.847775999999996,55.99080753977049
63540,Tiruppur,Kangayam,Kadaiyur,10.984722,77.608333,"10°59'05""","77°36'30""",2016-01-06,2016,1,Winter,1118.0,14.0,92.0,89.91,181.0,2.0,560.0,81.0,0.0,97.6,0.41,7.8,1990.0,80.0,600.0,3.215535,230.0,0.0,39.53535,Brackish,Neutral,364.90999999999997,738.6,33.86376199581336
63540,Tiruppur,Kangayam,Kadaiyur,10.984722,77.608333,"10°59'05""","77°36'30""",2016-07-05,2016,7,Monsoon,1975.0,39.0,120.0,174.96,242.0,38.0,908.0,110.0,0.0,420.9,0.35,7.6,3190.0,345.0,1020.0,3.297105,300.0,0.0,33.01472,Saline,Neutral,574.96,1438.9,42.89970504404477
HP2ETR24 A,Tiruppur,Dharapuram,Kallivalasu,10.632778,77.431667,"10°37'58""","77°25'54""",2016-01-05,2016,1,Winter,657.0,10.0,38.0,53.46,100.0,6.0,128.0,205.0,0.0,164.7,0.91,8.1,1080.0,135.0,315.0,2.451687,95.0,0.0,40.28033,Brackish,Neutral,197.46,497.7,43.19005696530295
HP2ETR24 A,Tiruppur,Dharapuram,Kallivalasu,10.632778,77.431667,"10°37'58""","77°25'54""",2016-07-06,2016,7,Monsoon,793.0,11.0,52.0,91.125,78.0,12.0,142.0,221.0,0.0,298.9,0.81,7.9,1380.0,245.0,505.0,1.510264,130.0,0.0,24.5976,Brackish,Neutral,233.125,661.9,47.90648305913243
63355,Tiruppur,Tiruppur,Kandiyankoil,11.013889,77.469444,"11°00'50""","77°28'10""",2016-01-02,2016,1,Winter,2745.0,112.0,120.0,170.1,573.0,15.0,936.0,264.0,0.0,341.6,0.51,8.0,4530.0,280.0,1000.0,7.884502,300.0,0.0,55.02799,Saline,Neutral,878.1,1541.6,27.420754639004834
63355,Tiruppur,Tiruppur,Kandiyankoil,11.013889,77.469444,"11°00'50""","77°28'10""",2016-07-01,2016,7,Monsoon,538.0,25.0,38.0,53.46,43.0,17.0,103.0,82.0,0.0,183.0,0.24,7.8,860.0,150.0,315.0,1.054225,95.0,0.0,21.74704,Brackish,Neutral,151.46,368.0,41.68559658106495
63826,Tiruppur,Madathukulam,Kaniyur,10.604444,77.378333,"10°36'16""","77°22'42""",2016-01-21,2016,1,Winter,1021.0,52.0,22.0,77.76,152.0,90.0,209.0,86.0,12.0,280.6,1.1,8.4,1640.0,250.0,375.0,3.415005,55.0,0.0,40.28995,Brackish,Neutral,341.76,587.6,26.45261255057244
63826,Tiruppur,Madathukulam,Kaniyur,10.604444,77.378333,"10°36'16""","77°22'42""",2016-07-05,2016,7,Monsoon,1069.0,21.0,34.0,77.76,78.0,163.0,102.0,266.0,0.0,378.2,1.96,8.1,1780.0,310.0,405.0,1.686373,85.0,0.0,21.66925,Brackish,Neutral,352.76,746.2,35.801121059911196
63828,Tiruppur,Udumalpet,Kannamanaickanur,10.554167,77.272222,"10°33'15""","77°16'20""",2016-01-21,2016,1,Winter,123.0,1.0,16.0,12.15,9.0,0.1,46.0,2.0,0.40733,54.553,0.05,7.9,220.0,55.0,90.0,0.4128516,40.0,0.0,17.85685,Fresh,Neutral,37.25,102.96033,46.865541219395176
63828,Tiruppur,Udumalpet,Kannamanaickanur,10.554167,77.272222,"10°33'15""","77°16'20""",2016-07-05,2016,7,Monsoon,107.0,6.0,14.0,17.01,10.0,5.0,32.0,1.0,0.512612,34.4081,0.05,8.2,180.0,35.0,105.0,0.424656,35.0,0.0,16.34483,Fresh,Neutral,46.010000000000005,67.920712,19.231611578096686
63421,Tiruppur,Palladam,Karanampettai,11.018333,77.183333,"11°01'06""","77°11'00""",2016-01-02,2016,1,Winter,410.0,14.0,38.0,37.665,48.0,4.0,124.0,35.0,0.930781,99.0192,0.08,8.0,720.0,100.0,250.0,1.321053,95.0,0.0,29.05507,Fresh,Neutral,127.66499999999999,258.94998100000004,33.9575514276308
63421,Tiruppur,Palladam,Karanampettai,11.018333,77.183333,"11°01'06""","77°11'00""",2016-07-04,2016,7,Monsoon,404.0,18.0,12.0,46.17,46.0,8.0,71.0,72.0,0.852011,114.108,0.05,7.9,660.0,115.0,220.0,1.349292,30.0,0.0,30.30004,Fresh,Neutral,112.17,257.960011,39.3888651736484
63431,Tiruppur,Palladam,Kethanur,10.915,77.263611,"10°54'54""","77°15'49""",2016-01-02,2016,1,Winter,1275.0,56.0,52.0,85.05,196.0,74.0,362.0,154.0,0.0,207.4,0.48,8.1,2000.0,170.0,480.0,3.892642,130.0,0.0,42.60243,Brackish,Neutral,407.05,723.4,27.98443097881374
63431,Tiruppur,Palladam,Kethanur,10.915,77.263611,"10°54'54""","77°15'49""",2016-07-04,2016,7,Monsoon,1384.0,67.0,72.0,85.05,221.0,63.0,319.0,216.0,0.0,219.6,0.32,7.8,2180.0,180.0,530.0,4.177232,180.0,0.0,44.06377,Brackish,Neutral,441.05,754.6,26.22422949859909
63523,Tiruppur,Dharapuram,Kilankundal,10.751389,77.726389,"10°45'05""","77°43'35""",2016-01-04,2016,1,Winter,1658.0,78.0,52.0,104.49,285.0,94.0,479.0,192.0,0.0,207.4,0.49,8.0,2600.0,170.0,560.0,5.240172,130.0,0.0,47.69046,Saline,Neutral,535.49,878.4,24.25294754188798
63523,Tiruppur,Dharapuram,Kilankundal,10.751389,77.726389,"10°45'05""","77°43'35""",2016-07-05,2016,7,Monsoon,1857.0,57.0,84.0,121.5,288.0,86.0,489.0,288.0,0.0,494.1,0.72,8.0,2890.0,405.0,710.0,4.70307,210.0,0.0,43.32177,Saline,Neutral,579.5,1271.1,37.37166324435318
MWSETR15,Tiruppur,Dharapuram,Kolathupalayam,10.742222,77.610556,"10°44'32""","77°36'38""",2016-01-05,2016,1,Winter,507.0,22.0,24.0,31.59,110.0,0.1,113.0,31.0,0.0,195.2,1.2,8.2,860.0,160.0,190.0,3.472493,60.0,0.0,55.737,Brackish,Neutral,165.69,339.2,34.36590148349145
MWSETR15,Tiruppur,Dharapuram,Kolathupalayam,10.742222,77.610556,"10°44'32""","77°36'38""",2016-07-05,2016,7,Monsoon,846.0,17.0,56.0,98.415,84.0,6.0,142.0,240.0,0.0,292.8,0.44,8.0,1470.0,240.0,545.0,1.565615,140.0,0.0,24.85527,Brackish,Neutral,244.41500000000002,674.8,46.82092872722921
63817A,Tiruppur,Madathukulam,Komaralingam East,10.488056,77.355278,"10°29'17""","77°21'19""",2016-01-21,2016,1,Winter,184.0,0.1,26.0,15.795,2.0,23.0,46.0,15.0,1.31997,88.6008,0.09,8.2,330.0,90.0,130.0,0.07633988,65.0,0.0,2.65835,Fresh,Neutral,66.795,150.92077,38.64018210532016
63817A,Tiruppur,Madathukulam,Komaralingam East,10.488056,77.355278,"10°29'17""","77°21'19""",2016-07-05,2016,7,Monsoon,532.0,0.1,38.0,41.31,94.0,0.1,128.0,96.0,0.0,268.4,0.05,7.7,940.0,220.0,265.0,2.512732,95.0,0.0,43.55767,Brackish,Neutral,173.41,492.4,47.91006443279615
63806,Tiruppur,Madathukulam,Kongalnagaram,10.676389,77.201389,"10°40'35""","77°12'05""",2016-01-21,2016,1,Winter,371.0,14.0,36.0,35.235,31.0,5.0,124.0,25.0,0.500977,84.4675,0.55,7.8,620.0,85.0,235.0,0.8799903,90.0,0.0,21.84639,Fresh,Neutral,107.235,233.968477,37.143078996231914
63806,Tiruppur,Madathukulam,Kongalnagaram,10.676389,77.201389,"10°40'35""","77°12'05""",2016-07-05,2016,7,Monsoon,401.0,39.0,36.0,38.88,18.0,55.0,28.0,38.0,0.237052,79.7471,0.15,7.5,560.0,80.0,250.0,0.4953865,90.0,0.0,10.89619,Fresh,Neutral,147.88,145.984152,0.6451443590846702
63517,Tiruppur,Dharapuram,Kulathupalayam,10.759722,77.583333,"10°45'35""","77°35'00""",2016-01-05,2016,1,Winter,700.0,21.0,14.0,31.59,124.0,90.0,163.0,80.0,6.0,195.2,0.3,8.4,1100.0,170.0,165.0,4.200172,35.0,0.1014427,49.06159,Brackish,Neutral,259.59000000000003,444.2,26.23083590275508
63517,Tiruppur,Dharapuram,Kulathupalayam,10.759722,77.583333,"10°45'35""","77°35'00""",2016-07-05,2016,7,Monsoon,720.0,21.0,36.0,36.45,104.0,90.0,152.0,72.0,0.0,274.5,0.05,8.2,1160.0,225.0,240.0,2.921292,90.0,0.0,38.9253,Brackish,Neutral,266.45,498.5,30.335316033727693
63830,Tiruppur,Udumalpet,Kuralikuttai,10.543056,77.25,"10°32'35""","77°15'00""",2016-01-21,2016,1,Winter,1529.0,39.0,112.0,155.52,123.0,22.0,461.0,437.0,0.0,91.5,0.71,7.7,2430.0,75.0,920.0,1.764544,280.0,0.0,22.01761,Saline,Neutral,412.52,989.5,41.15347855237444
63830,Tiruppur,Udumalpet,Kuralikuttai,10.543056,77.25,"10°32'35""","77°15'00""",2016-07-05,2016,7,Monsoon,1594.0,32.0,88.0,36.45,330.0,22.0,383.0,528.0,0.0,128.1,0.4,7.2,2230.0,105.0,370.0,7.466911,220.0,0.0,64.34573,Saline,Neutral,476.45,1039.1,37.12513608920853
63501,Tiruppur,Dharapuram,Munduvelampatty,10.708333,77.327778,"10°42'30""","77°19'40""",2016-01-05,2016,1,Winter,1246.0,70.0,36.0,92.34,219.0,30.0,347.0,102.0,0.0,219.6,1.16,8.0,1970.0,180.0,470.0,4.395163,90.0,0.0,48.38392,Brackish,Neutral,377.34000000000003,668.6,27.846721609270126
63501,Tiruppur,Dharapuram,Munduvelampatty,10.708333,77.327778,"10°42'30""","77°19'40""",2016-07-05,2016,7,Monsoon,1498.0,83.0,76.0,114.21,219.0,35.0,397.0,120.0,0.0,341.6,1.28,8.0,2360.0,280.0,660.0,3.709261,190.0,0.0,40.34373,Brackish,Neutral,444.21,858.6,31.807400925691393
63344,Tiruppur,Tiruppur,Muthaiankinaru,11.204167,77.359722,"11°12'15""","77°20'95""",2016-01-02,2016,1,Winter,217.0,13.0,14.0,21.87,23.0,0.1,64.0,7.0,0.465158,49.4848,0.05,8.0,350.0,50.0,125.0,0.895128,35.0,0.0,28.57346,Fresh,Neutral,58.970000000000006,120.94995800000001,34.44862853958647
63344,Tiruppur,Tiruppur,Muthaiankinaru,11.204167,77.359722,"11°12'15""","77°20'95""",2016-07-05,2016,7,Monsoon,214.0,8.0,20.0,27.945,9.0,1.0,35.0,29.0,0.666727,89.2936,0.05,7.9,370.0,90.0,165.0,0.3048747,50.0,0.0,10.53866,Fresh,Neutral,57.945,153.960327,45.31048292146049
63347,Tiruppur,Tiruppur,Nallur,11.1,77.391667,"11°06'00""","77°23'30""",2016-01-02,2016,1,Winter,366.0,6.0,20.0,41.31,39.0,4.0,82.0,69.0,2.05394,137.867,0.39,8.2,620.0,140.0,220.0,1.144053,50.0,0.0,27.37852,Fresh,Neutral,104.31,290.92094,47.21567091888099
63347,Tiruppur,Tiruppur,Nallur,11.1,77.391667,"11°06'00""","77°23'30""",2016-07-01,2016,7,Monsoon,869.0,21.0,22.0,68.04,157.0,27.0,230.0,108.0,0.0,329.4,0.53,8.0,1420.0,270.0,335.0,3.732046,55.0,0.0,48.03673,Brackish,Neutral,274.04,667.4,41.78280081577157
63433,Tiruppur,Palladam,Naranapuram,11.025278,77.29,"11°01'31""","77°17'24""",2016-01-02,2016,1,Winter,1542.0,56.0,68.0,70.47,229.0,99.0,638.0,125.0,0.0,128.1,0.49,8.0,2170.0,105.0,460.0,4.646242,170.0,0.0,45.9339,Saline,Neutral,466.47,891.1,31.278681762266398
63433,Tiruppur,Palladam,Naranapuram,11.025278,77.29,"11°01'31""","77°17'24""",2016-07-04,2016,7,Monsoon,1204.0,42.0,26.0,53.46,258.0,70.0,411.0,120.0,0.0,158.6,0.35,7.9,1870.0,130.0,285.0,6.649524,65.0,0.0,59.98265,Brackish,Neutral,407.46000000000004,689.6,25.7178276484422
63818A,Tiruppur,Madathukulam,Neelambur,10.533889,77.359444,"10°32'02""","77°21'34""",2016-01-21,2016,1,Winter,620.0,16.0,54.0,47.385,75.0,18.0,135.0,60.0,0.0,317.2,0.21,8.1,1030.0,260.0,330.0,1.796652,135.0,0.0,31.62148,Brackish,Neutral,194.385,512.2,44.979018801701145
63818A,Tiruppur,Madathukulam,Neelambur,10.533889,77.359444,"10°32'02""","77°21'34""",2016-07-05,2016,7,Monsoon,37.0,0.1,6.0,7.29,3.0,0.1,14.0,1.0,0.292423,19.6283,0.05,8.2,80.0,20.0,45.0,0.1946018,15.0,0.0,12.64025,Fresh,Neutral,16.39,34.920722999999995,36.11471816524588
63357,Tiruppur,Tiruppur,Neruperichal,11.15,77.2375,"11°09'00""","77°14'15""",2016-01-02,2016,1,Winter,111.0,6.0,12.0,9.72,9.0,0.1,18.0,9.0,0.418595,44.5314,0.05,8.0,180.0,45.0,70.0,0.4681235,30.0,0.0,21.83693,Fresh,Neutral,30.82,71.94999499999999,40.02140410729804
HP2CTR20,Tiruppur,Tiruppur,Neruperichal,11.15,77.3875,"11°09'00""","77°23'15""",2016-01-08,2016,1,Winter,396.0,8.0,20.0,29.16,48.0,48.0,64.0,40.0,3.312,176.588,0.05,8.3,670.0,180.0,170.0,1.601896,50.0,0.0,31.1013,Fresh,Neutral,145.16,283.9,32.33580385027735
HP2CTR20,Tiruppur,Tiruppur,Neruperichal,11.15,77.3875,"11°09'00""","77°23'15""",2016-07-01,2016,7,Monsoon,448.0,5.0,20.0,29.16,48.0,66.0,82.0,72.0,1.33375,178.627,0.05,7.9,720.0,180.0,170.0,1.601896,50.0,0.0,29.10531,Fresh,Neutral,163.16,333.96075,34.35800054614498
63357,Tiruppur,Tiruppur,Neruperichal,11.15,77.2375,"11°09'00""","77°14'15""",2016-07-05,2016,7,Monsoon,481.0,5.0,26.0,31.59,48.0,63.0,85.0,72.0,2.04828,217.902,0.05,8.0,760.0,220.0,195.0,1.495739,65.0,0.0,27.48586,Fresh,Neutral,168.59,376.95027999999996,38.193381430973346
63510,Tiruppur,Dharapuram,P.K.Palayam,10.770833,77.313889,"10°46'15""","77°18'50""",2016-01-05,2016,1,Winter,1642.0,63.0,112.0,174.96,175.0,11.0,525.0,276.0,0.0,176.9,0.36,7.8,2790.0,145.0,1000.0,2.407966,280.0,0.0,27.30315,Saline,Neutral,472.96000000000004,977.9,34.80280661125125
63510,Tiruppur,Dharapuram,P.K.Palayam,10.770833,77.313889,"10°46'15""","77°18'50""",2016-07-05,2016,7,Monsoon,2358.0,92.0,120.0,267.3,154.0,23.0,709.0,528.0,0.0,292.8,0.31,7.5,3530.0,240.0,1400.0,1.790791,300.0,0.0,18.99188,Saline,Neutral,564.3,1529.8,46.10572561004728
HP2ETR22,Tiruppur,Dharapuram,Periakumarapalayam,10.773611,77.315278,"10°46'25""","77°18'55""",2016-01-05,2016,1,Winter,2431.0,134.0,152.0,165.24,320.0,141.0,794.0,120.0,0.0,286.7,0.89,8.0,3870.0,235.0,1060.0,4.276989,380.0,0.0,35.95926,Saline,Neutral,778.24,1200.7,21.347792252417964
HP2ETR22,Tiruppur,Dharapuram,Periakumarapalayam,10.773611,77.315278,"10°46'25""","77°18'55""",2016-07-06,2016,7,Monsoon,3720.0,106.0,184.0,379.08,414.0,43.0,1375.0,720.0,0.0,268.4,0.59,7.2,5950.0,220.0,2020.0,4.007908,460.0,0.0,30.27371,Saline,Neutral,1020.0799999999999,2363.4,39.702318323146585
63832,Tiruppur,Udumalpet,Periya Valavadi,10.548056,77.182778,"10°32'53""","77°10'58""",2016-01-21,2016,1,Winter,1567.0,46.0,64.0,80.19,346.0,17.0,588.0,149.0,0.0,237.9,0.16,7.9,2530.0,195.0,490.0,6.801543,160.0,0.0,59.53965,Saline,Neutral,507.19,974.9,31.557462772166332
63832,Tiruppur,Udumalpet,Periya Valavadi,10.548056,77.182778,"10°32'53""","77°10'58""",2016-07-05,2016,7,Monsoon,94.0,3.0,30.0,48.6,262.0,8.0,294.0,144.0,2.37134,317.59,0.14,7.9,1710.0,320.0,275.0,6.874555,75.0,0.0,66.65588,Fresh,Neutral,348.6,757.96134,36.99400342325351
HP2CTR21(A),Tiruppur,Palladam,Pongalur,10.975556,77.543611,"10°58'32""","77°32'37""",2016-01-08,2016,1,Winter,300.0,7.0,30.0,25.515,32.0,1.0,71.0,48.0,0.930781,99.0192,0.05,8.0,500.0,100.0,180.0,1.03795,75.0,0.0,27.75948,Fresh,Neutral,88.515,218.949981,42.42271122251805
HP2CTR21(A),Tiruppur,Palladam,Pongalur,10.975556,77.543611,"10°58'32""","77°32'37""",2016-07-04,2016,7,Monsoon,1107.0,26.0,36.0,89.91,204.0,5.0,269.0,288.0,0.0,201.3,0.19,7.7,1820.0,165.0,460.0,4.138401,90.0,0.0,48.76501,Brackish,Neutral,334.90999999999997,758.3,38.72906394928696
HP2ETR10 A,Tiruppur,Kangayam,Poomandanvalasu,11.067778,77.557778,"11°04'04""","77°33'28""",2016-01-05,2016,1,Winter,595.0,24.0,46.0,26.73,105.0,9.0,117.0,100.0,0.0,170.8,0.42,8.2,930.0,140.0,225.0,3.046459,115.0,0.0,49.14915,Brackish,Neutral,186.73000000000002,387.8,34.997302142620924
HP2ETR10 A,Tiruppur,Kangayam,Poomandanvalasu,11.067778,77.557778,"11°04'04""","77°33'28""",2016-07-06,2016,7,Monsoon,565.0,21.0,28.0,76.545,46.0,8.0,113.0,77.0,0.0,244.0,0.35,8.0,990.0,200.0,385.0,1.020008,70.0,0.0,20.20782,Brackish,Neutral,158.54500000000002,434.0,46.486764718291425
53260,Tiruppur,Avinasi,Raddipalayam,11.173889,77.460833,"11°10'26""","77°27'39""",2016-01-05,2016,1,Winter,1752.0,50.0,56.0,65.61,315.0,141.0,503.0,360.0,0.0,183.0,0.37,8.2,2550.0,150.0,410.0,6.769452,140.0,0.0,53.72889,Saline,Neutral,577.61,1046.0,28.84867671423556
53260,Tiruppur,Avinasi,Raddipalayam,11.173889,77.460833,"11°10'26""","77°27'39""",2016-07-04,2016,7,Monsoon,1781.0,59.0,24.0,123.93,350.0,82.0,567.0,288.0,6.0,158.6,0.22,8.4,2870.0,140.0,570.0,6.377915,60.0,0.0,53.01431,Saline,Neutral,579.9300000000001,1019.6,27.48744943827249
63801,Tiruppur,Madathukulam,Ramachandrapuram,10.725,77.176389,"10°43'30""","77°10'35""",2016-01-21,2016,1,Winter,2510.0,35.0,192.0,86.994,443.0,47.0,709.0,840.0,0.0,73.2,0.55,7.6,3720.0,60.0,838.0,6.66042,480.0,0.0,51.78303,Saline,Neutral,768.994,1622.2,35.68117016017939
63801,Tiruppur,Madathukulam,Ramachandrapuram,10.725,77.176389,"10°43'30""","77°10'35""",2016-07-05,2016,7,Monsoon,2745.0,11.0,160.0,170.1,450.0,2.0,1134.0,720.0,0.0,115.9,0.05,7.5,4160.0,95.0,1100.0,5.904175,400.0,0.0,47.04472,Saline,Neutral,782.1,1969.9,43.16133720930233
63341,Tiruppur,Avinashi,Ramanathapuram,11.218333,77.19,"11°13'06""","77°11'24""",2016-01-02,2016,1,Winter,407.0,10.0,16.0,25.515,82.0,13.0,71.0,40.0,2.7879,187.133,0.08,8.2,680.0,190.0,145.0,2.963061,40.0,0.2622309,52.47342,Fresh,Neutral,136.515,300.9209,37.5839980211958
63341,Tiruppur,Avinashi,Ramanathapuram,11.218333,77.19,"11°13'06""","77°11'24""",2016-07-05,2016,7,Monsoon,2695.0,10.0,64.0,223.56,510.0,25.0,922.0,720.0,0.0,372.1,1.26,7.5,4440.0,305.0,1080.0,6.751841,160.0,0.0,49.94843,Saline,Neutral,822.56,2014.1,42.00503408938682
53261,Tiruppur,Avinasi,Sakarperiyapalayam,11.129167,77.405,"11°07'45""","77°24'18""",2016-01-05,2016,1,Winter,2243.0,54.0,96.0,97.2,306.0,242.0,808.0,382.0,0.0,146.4,0.05,8.0,3230.0,120.0,640.0,5.263549,240.0,0.0,41.22221,Saline,Neutral,741.2,1336.4,28.64844050827878
